Prefix for use in doc-code	Doctype for use in doc-code	Serial number for use in doc-code	Doctype for doctype headings on page	Doctype sorting	Service	Industry	Part number (for RU only)	Chapter number (for RU only)	Subtype (for RU: part title)	Document title (for RU: chapter title)	Edition	Amended	History	L-DNV type	L-DNV code	Program	WP or Project
DNVGL	IN	1236	IN	12	Ship classification	Maritime				Introduction	2016-01			"SI;#9"		FIS	"Statutory certification;#13"
DNVGL	IN	1237	IN	12	Ship classification	Maritime				Construction	2016-01			"SI;#9"	SOLAS Ch. II-1	FIS	"Statutory certification;#13"
DNVGL	IN	1238	IN	12	Ship classification	Maritime				Construction - Fire Protection, Fire Detection and Fire Extinction, FSS Code, IMSBC Code	2016-01			"SI;#9"	SOLAS Ch. II-2	FIS	"Statutory certification;#13"
DNVGL	IN	1239	IN	12	Ship classification	Maritime				Lifesaving Arrangement, LSA Code	2016-01			"SI;#9"	SOLAS Ch.III	FIS	"Statutory certification;#13"
DNVGL	IN	1240	IN	12	Ship classification	Maritime				Radio Communications - Global Maritime Distress and Safety System (GMDSS)	2016-01			"SI;#9"	SOLAS Ch.IV	FIS	"Statutory certification;#13"
DNVGL	IN	1241	IN	12	Ship classification	Maritime				Safety of Navigation	2016-01			"SI;#9"	SOLAS Ch.V	FIS	"Statutory certification;#13"
DNVGL	IN	1242	IN	12	Ship classification	Maritime				Management for the Safe Operation of Ships, ISM Code	2016-01			"SI;#9"	SOLAS Ch.IX	FIS	"Mgt systems certification;#17"
DNVGL	IN	1243	IN	12	Ship classification	Maritime				Special Measures to Enhance Maritime Security	2016-01			"SI;#9"	SOLAS Ch.XI-2	FIS	"Mgt systems certification;#17"
DNVGL	RP	1244	RP	11	Ship classification	Maritime				Repair of Surface / Dimension by means of Metal Coating	2016-02			"CN;#12"	4.3	ORS	"WP 5;#5"
DNVGL	RP	1245	RP	11	Ship classification	Maritime				Non-destructive testing	2016-02			"CN;#12"	7	ORS	"WP 5;#5"
DNVGL	RP	1246	RP	11	Ship classification	Maritime				Conversion of Ships	2016-02			"CN;#12"	8	ORS	"WP 7 ;#7"
DNVGL	RP	1247	RP	11	Ship classification	Maritime				Guidance for Condition Monitoring	2016-02			"CN;#12"	10.2	ORS	"WP 2;#2"
DNVGL	RP	1248	RP	11	Ship classification	Maritime				Stability Documentation for Approval	2016-02			"CN;#12"	20.1	ORS	"WP 7 ;#7"
DNVGL	RP	1249	RP	11	Ship classification	Maritime				Approval and Certification of the Software of Loading Computer Systems	2016-02			"CN;#12"	21.1	ORS	"WP 7 ;#7"
DNVGL	RP	1250	RP	11	Ship classification	Maritime				Buckling Strength analysis of bars and frames, and spherical shells	2016-02			"CN;#12"	30.1	ORS	"WP 7 ;#7"
DNVGL	RP	1251	RP	11	Ship classification	Maritime				Strength analysis of LNG carriers w. spherical tanks	2016-02			"CN;#12"	30.2	ORS	"WP 7 ;#7"
DNVGL	RP	1252	RP	11	Ship classification	Maritime				Buckling Criteria of LNG Spherical Cargo Tank Containment Systems - Skirt and Sphere	2016-02			"CN;#12"	30.3	ORS	"WP 7 ;#7"
DNVGL	RP	1253	RP	11		Maritime				Foundations	2016-02			"CN;#12"	30.4	Offshore	"Offshore;#11;#WP 7 ;#7"
